pitch_no,game_date,pa_of_inning,pitch_of_pa,pitcher,pitcher_id,pitcher_throws,batter_side,pitcher_set,inning,top_bottom,outs,balls,strikes,tagged_pitch_type,auto_pitch_type,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
110,7/8/2018,3,1,Player B,111112,Right,Right,Undefined,4,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.14065081,-2.350002717,-0.966849527,2349.589999,203.6563555,12:45,6.262203634,2.714383164,6.461094154,-15.13718524,15.79919722,7.466508136,2.611054868,2.338964652,87.02147579,-5.440105393,0.20286454,0.397679622,-3.632216117,8.313567082,-2.646117187,50,5.966065356,2.123372467,-137.6487707,-6.17953409,-7.010090711,28.85765091,-16.12906183
109,7/8/2018,2,5,Player B,111112,Right,Right,Undefined,4,Bottom,0,3,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Double,0,0,,94.67831532,-1.64156871,-3.175516723,2331.965379,203.6485262,12:45,6.087201376,2.727492413,6.503400324,-16.24353756,14.32414796,6.818133718,2.996815678,0.261749299,87.52663475,-4.943405501,-2.130327845,0.395271013,-3.848205079,7.326541907,-2.498063474,50,5.844037745,7.495621984,-138.3175212,-4.5341077,-7.508333512,28.78802716,-17.87904114
108,7/8/2018,2,4,Player B,111112,Right,Right,Undefined,4,Bottom,0,3,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,94.69680995,-1.815742027,-2.515170224,2319.927347,195.7316257,12:30,6.213338672,2.746561576,6.452853867,-12.93530902,18.00682667,5.878770499,3.237194409,0.809979557,86.43347618,-4.510965304,-1.641648276,0.397717091,-3.262676687,9.464971328,-2.562820605,50,5.957424133,5.926429598,-138.285792,-4.845423494,-6.279753322,32.57364075,-13.95658761
107,7/8/2018,2,3,Player B,111112,Right,Right,Undefined,4,Bottom,0,2,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.87912256,-0.78435398,-3.072309405,2434.350289,30.51140819,7:00,6.166315332,2.642501435,5.844956626,-49.00371992,-5.271679718,-2.806586409,1.128001853,-0.565309643,74.93380742,-10.04774118,-3.831829965,0.473743196,1.398040802,-3.52034537,-2.380012861,50,5.953449402,6.390837577,-116.7339029,-3.144205805,1.9452126,20.25510967,-37.07220329
106,7/8/2018,2,2,Player B,111112,Right,Right,Undefined,4,Bottom,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.92030769,-1.743006204,-4.099952954,2428.239292,195.8889098,12:30,6.124098415,2.603156485,6.528463764,-15.32773932,15.01653372,5.075873278,3.015498156,-0.860806994,88.06337522,-4.864671269,-3.385936558,0.393804344,-3.088146327,7.711768326,-2.306887586,50,5.874650349,9.809789674,-138.5596774,-4.761739472,-6.070481255,27.72884505,-17.01474582
105,7/8/2018,2,1,Player B,111112,Right,Right,Undefined,4,Bottom,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.01779976,-0.477282314,-2.968952008,2564.392341,36.48426445,7:15,6.251985858,2.55030322,5.945802575,-46.82279659,-3.774075132,-2.740430537,1.683076748,-0.550120368,75.56024072,-9.333081205,-3.714367067,0.469992464,1.469522058,-2.815667888,-2.301923451,50,6.068264874,6.193002308,-117.0476808,-2.44225417,2.074588578,18.44155964,-36.14905009
104,7/8/2018,1,5,Player B,111112,Right,Right,Undefined,4,Bottom,0,2,2,Fastball,Other,InPlay,Undefined,GroundBall,Single,0,0,,91.61905007,-2.384145803,-3.65960569,1757.324207,218.9834384,1:15,6.055216233,2.65751233,6.279533802,-17.63466869,15.52285128,12.49015913,2.152661628,0.20270055,84.16027364,-5.942110367,-1.545934967,0.411891886,-7.108963277,8.173713253,-2.381552949,50,5.746711161,8.184962323,-133.6324574,-6.186276922,-12.85608706,28.77196116,-17.39243201
103,7/8/2018,1,4,Player B,111112,Right,Right,Undefined,4,Bottom,0,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,95.12419842,-2.27845432,-3.685917155,2472.031707,194.4891558,12:30,6.109847484,2.854250961,6.408193258,-14.30104874,16.24375104,5.04293914,2.588274588,-0.23730908,87.66055534,-5.210098028,-2.976482188,0.395121022,-3.040091021,8.54205318,-2.580495759,50,5.816810987,8.817292954,-138.7892038,-6.045029618,-5.95184295,29.97955958,-15.45054961
102,7/8/2018,1,3,Player B,111112,Right,Right,Undefined,4,Bottom,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.97163851,-2.973309602,-5.016633678,2473.399867,189.3518268,12:15,6.071027989,2.776407903,6.318585011,-12.85683433,18.00959387,3.967771167,2.016490743,-1.647527902,87.58661486,-5.620578231,-4.512542726,0.39722375,-2.794404599,9.655070537,-2.39433744,50,5.72126038,12.04486522,-138.2345191,-7.678312279,-5.431752171,29.49755448,-13.40656214
101,7/8/2018,1,2,Player B,111112,Right,Right,Undefined,4,Bottom,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.26502872,-2.735970015,-1.184889483,2465.681239,199.7338971,12:45,6.217657272,2.63853114,6.215278193,-13.25895584,18.1456339,7.18729703,2.354598484,2.033722625,86.39710753,-5.470866296,-0.068426293,0.400717444,-3.543021144,9.700038606,-2.549251766,50,5.881422421,2.648490133,-137.6510998,-7.068321112,-6.781194505,31.25469963,-13.60857976
100,7/8/2018,1,1,Player B,111112,Right,Right,Undefined,4,Bottom,0,0,0,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.81699692,-0.638905499,-1.932950606,2697.433773,31.05277743,7:00,6.205194181,2.896718846,5.944758656,-47.01868941,-4.178135206,-2.237355619,1.469771774,0.804173881,75.05645561,-9.613166857,-2.592045514,0.468843873,1.344956268,-2.975516542,-2.734535966,50,6.008419915,4.093854745,-118.1454631,-2.782954587,1.89959512,22.66381603,-36.37662141
88,7/8/2018,4,2,Player B,111112,Right,Left,Undefined,3,Bottom,2,1,0,ChangeUp,ChangeUp,InPlay,Undefined,FlyBall,Out,1,0,,89.17414232,-0.839299649,-3.251628411,1526.965612,216.9160942,1:15,6.063371835,2.878963737,6.560488876,-23.83207223,10.49166398,7.907005838,3.081741055,0.436886529,82.49295637,-5.575700705,-1.999168091,0.419161199,-4.480004424,5.037432028,-2.647648198,50,5.87637563,7.206690509,-130.3441683,-2.664751063,-7.755259476,25.80041779,-23.45383563
87,7/8/2018,4,1,Player B,111112,Right,Left,Undefined,3,Bottom,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1769581,-2.863539283,-2.009971441,2221.93575,193.6753842,12:30,6.154553797,2.942514077,6.417170526,-13.58564297,18.38720077,5.344782819,2.154874144,1.426624278,85.26170945,-5.671700993,-1.238428737,0.404373733,-2.809269604,9.957018739,-2.794686451,50,5.818844743,4.644115231,-136.025271,-7.282458479,-5.238976392,31.13426548,-13.60531239
86,7/8/2018,3,5,Player B,111112,Right,Left,Undefined,3,Bottom,2,3,1,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,95.52348237,-4.595660295,-3.312450338,2330.644353,194.2414688,12:30,6.16838984,2.886777507,6.309415745,-12.38165487,18.31747905,5.502171818,0.650150312,0.173627981,87.6175137,-7.156442065,-2.514896985,0.396131414,-3.244472282,10.3583294,-2.635612388,50,5.694183826,7.904715027,-139.0094402,-11.64824491,-6.332864631,31.87828998,-11.95569187
