player_code,year,tpa,sb,avg,slg,avg_exit_speed,hard_hit_perc
2246784,2016,509,14,0.229468599,0.413043478,85.91393922,0.299638989
2223960,2014,509,16,0.257709251,0.372246696,90.01470383,0.354166667
2473004,2010,508,33,0.256179775,0.348314607,,
2695322,2014,508,12,0.2760181,0.461538462,86.99331807,0.225806452
2628921,2011,507,5,0.253796095,0.35791757,,
2268858,2017,507,22,0.26754386,0.385964912,86.6903838,0.3
2817958,2014,506,2,0.260393873,0.444201313,87.45719382,0.215909091
2235192,2014,506,2,0.260393873,0.444201313,87.36996178,0.348314607
2254020,2018,506,1,0.263038549,0.371882086,86.99457558,0.314049587
2222694,2017,503,14,0.248407643,0.341825902,84.15895206,0.213333333
2235780,2018,502,3,0.258351893,0.371937639,84.47145281,0.241071429
2268342,2017,502,7,0.260089686,0.367713004,86.21623504,0.264957265
2601896,2011,501,13,0.254901961,0.4291939,,
2185860,2015,501,11,0.260089686,0.403587444,84.20160706,0.194570136
2203290,2015,501,23,0.251101322,0.328193833,84.44382209,0.20361991
2901034,2016,500,11,0.223194748,0.32166302,82.76860746,0.097222222
2189310,2017,500,3,0.205194805,0.397402597,91.26821243,0.46875
2739758,2015,499,1,0.253863135,0.42384106,87.88729535,0.232142857
2874239,2015,499,7,0.300668151,0.474387528,88.73280414,0.212669683
2179776,2014,499,13,0.23798627,0.3798627,87.39430321,0.307692308
2212368,2016,499,36,0.323325635,0.475750577,88.05305503,0.349206349
2634602,2013,497,4,0.293991416,0.463519313,89.62157186,0.242424242
2230092,2018,496,4,0.272108844,0.362811791,88.05222785,0.330601093
2230086,2016,496,25,0.295964126,0.401345291,86.34907731,0.262345679
2725337,2014,495,12,0.299319728,0.421768707,88.83307348,0.181818182
2727890,2014,494,49,0.267898383,0.323325635,79.96436442,0
2771222,2015,494,4,0.256179775,0.319101124,86.45946563,0.129554656
2211696,2014,494,49,0.267898383,0.323325635,79.96436442,0
2683201,2014,493,4,0.25389755,0.436525612,86.7790143,0.260869565
2259216,2018,493,22,0.227817746,0.330935252,87.63309963,0.320121951
865741,2010,492,6,0.321348315,0.51011236,,
2244168,2017,492,30,0.252403846,0.425480769,83.7370685,0.252459016
2259528,2016,492,0,0.272925764,0.362445415,88.08921626,0.346938776
2227818,2017,492,12,0.247685185,0.351851852,84.6788968,0.227272727
2695322,2012,491,28,0.246943765,0.442542787,,
2724739,2012,491,53,0.309178744,0.429951691,,
2231670,2015,491,18,0.25462963,0.446759259,87.71873902,0.297752809
2274558,2017,491,16,0.272727273,0.41958042,85.14666261,0.291390728
2232414,2016,491,1,0.269585253,0.421658986,89.96832191,0.444089457
2540486,2010,489,12,0.270642202,0.483944954,,
2246310,2016,488,6,0.230232558,0.325581395,85.91454107,0.272727273
905163,2012,487,3,0.28,0.449411765,,
2724739,2013,487,27,0.23902439,0.348780488,83.23313549,0.043478261
2271084,2018,487,15,0.293064877,0.436241611,87.87959463,0.337912088
2708248,2016,486,6,0.251670379,0.311804009,82.31500637,0.01863354
2778030,2013,485,10,0.239819005,0.314479638,82.10278585,0
2223750,2016,485,2,0.225287356,0.363218391,85.08649034,0.22741433
2708248,2015,484,12,0.275058275,0.34032634,79.76670361,0.004048583
2206572,2015,484,12,0.275058275,0.34032634,79.99421393,0.030534351
2874216,2015,483,5,0.293986637,0.380846325,89.66807542,0.2
2200890,2014,483,7,0.197777778,0.248888889,80.98437234,0.0625
2244066,2018,483,5,0.268765133,0.573849879,92.81252016,0.516363636
2693321,2012,482,8,0.287946429,0.388392857,,
2188254,2014,482,5,0.270693512,0.326621924,84.15418981,0.121621622
2680763,2011,481,22,0.236842105,0.291866029,,
940054,2010,480,17,0.261682243,0.413551402,,
2232372,2018,480,6,0.271186441,0.525423729,88.29754275,0.366906475
